"id_sequence" ,"matrix"                                                                                                                                   ,"sequence"
          181 ,"[[4, 7, 16, 35, 71, 136], [3, 9, 19, 36, 65, 0], [6, 10, 17, 29, 0, 0], [4, 7, 12, 0, 0, 0], [3, 5, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"     ,"[4, 7, 16, 35, 71, 136, 249, 438, 742, 1213]"
          182 ,"[[4, 5, 12, 30, 69, 147], [1, 7, 18, 39, 78, 0], [6, 11, 21, 39, 0, 0], [5, 10, 18, 0, 0, 0], [5, 8, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"    ,"[4, 5, 12, 30, 69, 147, 293, 550, 978, 1657]"
          183 ,"[[2, 6, 15, 30, 55, 102], [4, 9, 15, 25, 47, 0], [5, 6, 10, 22, 0, 0], [1, 4, 12, 0, 0, 0], [3, 8, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"      ,"[2, 6, 15, 30, 55, 102, 196, 380, 720, 1310]"
          184 ,"[[5, 11, 23, 42, 70, 111], [6, 12, 19, 28, 41, 0], [6, 7, 9, 13, 0, 0], [1, 2, 4, 0, 0, 0], [1, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"      ,"[5, 11, 23, 42, 70, 111, 172, 264, 403, 611]"
          185 ,"[[1, 6, 16, 37, 76, 144], [5, 10, 21, 39, 68, 0], [5, 11, 18, 29, 0, 0], [6, 7, 11, 0, 0, 0], [1, 4, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"    ,"[1, 6, 16, 37, 76, 144, 259, 449, 755, 1234]"
          186 ,"[[2, 5, 12, 26, 53, 104], [3, 7, 14, 27, 51, 0], [4, 7, 13, 24, 0, 0], [3, 6, 11, 0, 0, 0], [3, 5, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"      ,"[2, 5, 12, 26, 53, 104, 197, 359, 628, 1055]"
          187 ,"[[3, 7, 12, 24, 52, 109], [4, 5, 12, 28, 57, 0], [1, 7, 16, 29, 0, 0], [6, 9, 13, 0, 0, 0], [3, 4, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"      ,"[3, 7, 12, 24, 52, 109, 213, 388, 665, 1083]"
          188 ,"[[4, 7, 14, 27, 51, 100], [3, 7, 13, 24, 49, 0], [4, 6, 11, 25, 0, 0], [2, 5, 14, 0, 0, 0], [3, 9, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"      ,"[4, 7, 14, 27, 51, 100, 203, 410, 798, 1477]"
          189 ,"[[3, 6, 11, 19, 35, 70], [3, 5, 8, 16, 35, 0], [2, 3, 8, 19, 0, 0], [1, 5, 11, 0, 0, 0], [4, 6, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"         ,"[3, 6, 11, 19, 35, 70, 143, 283, 531, 942]"
          190 ,"[[3, 7, 17, 39, 81, 156], [4, 10, 22, 42, 75, 0], [6, 12, 20, 33, 0, 0], [6, 8, 13, 0, 0, 0], [2, 5, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"    ,"[3, 7, 17, 39, 81, 156, 285, 500, 847, 1389]"
          191 ,"[[6, 11, 20, 34, 55, 87], [5, 9, 14, 21, 32, 0], [4, 5, 7, 11, 0, 0], [1, 2, 4, 0, 0, 0], [1, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"        ,"[6, 11, 20, 34, 55, 87, 137, 216, 340, 531]"
          192 ,"[[1, 3, 10, 24, 53, 113], [2, 7, 14, 29, 60, 0], [5, 7, 15, 31, 0, 0], [2, 8, 16, 0, 0, 0], [6, 8, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"      ,"[1, 3, 10, 24, 53, 113, 230, 442, 801, 1375]"
          193 ,"[[3, 9, 19, 38, 75, 144], [6, 10, 19, 37, 69, 0], [4, 9, 18, 32, 0, 0], [5, 9, 14, 0, 0, 0], [4, 5, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"     ,"[3, 9, 19, 38, 75, 144, 265, 465, 779, 1251]"
          194 ,"[[2, 8, 20, 44, 90, 176], [6, 12, 24, 46, 86, 0], [6, 12, 22, 40, 0, 0], [6, 10, 18, 0, 0, 0], [4, 8, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"   ,"[2, 8, 20, 44, 90, 176, 332, 604, 1058, 1784]"
          195 ,"[[2, 4, 7, 15, 36, 88], [2, 3, 8, 21, 52, 0], [1, 5, 13, 31, 0, 0], [4, 8, 18, 0, 0, 0], [4, 10, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"        ,"[2, 4, 7, 15, 36, 88, 205, 443, 886, 1652]"
          196 ,"[[6, 11, 17, 25, 40, 74], [5, 6, 8, 15, 34, 0], [1, 2, 7, 19, 0, 0], [1, 5, 12, 0, 0, 0], [4, 7, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"        ,"[6, 11, 17, 25, 40, 74, 149, 300, 578, 1053]"
          197 ,"[[3, 8, 19, 42, 88, 178], [5, 11, 23, 46, 90, 0], [6, 12, 23, 44, 0, 0], [6, 11, 21, 0, 0, 0], [5, 10, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"  ,"[3, 8, 19, 42, 88, 178, 348, 654, 1177, 2028]"
          198 ,"[[6, 9, 16, 32, 66, 134], [3, 7, 16, 34, 68, 0], [4, 9, 18, 34, 0, 0], [5, 9, 16, 0, 0, 0], [4, 7, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"      ,"[6, 9, 16, 32, 66, 134, 262, 489, 870, 1479]"
          199 ,"[[1, 4, 8, 18, 41, 89], [3, 4, 10, 23, 48, 0], [1, 6, 13, 25, 0, 0], [5, 7, 12, 0, 0, 0], [2, 5, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"        ,"[1, 4, 8, 18, 41, 89, 182, 351, 641, 1114]"
          200 ,"[[1, 7, 16, 33, 65, 122], [6, 9, 17, 32, 57, 0], [3, 8, 15, 25, 0, 0], [5, 7, 10, 0, 0, 0], [2, 3, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"      ,"[1, 7, 16, 33, 65, 122, 218, 372, 609, 961]"
          201 ,"[[2, 8, 15, 26, 45, 81], [6, 7, 11, 19, 36, 0], [1, 4, 8, 17, 0, 0], [3, 4, 9, 0, 0, 0], [1, 5, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"         ,"[2, 8, 15, 26, 45, 81, 152, 289, 540, 974]"
          202 ,"[[4, 7, 13, 27, 57, 115], [3, 6, 14, 30, 58, 0], [3, 8, 16, 28, 0, 0], [5, 8, 12, 0, 0, 0], [3, 4, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"      ,"[4, 7, 13, 27, 57, 115, 218, 389, 658, 1063]"
          203 ,"[[6, 8, 16, 32, 61, 112], [2, 8, 16, 29, 51, 0], [6, 8, 13, 22, 0, 0], [2, 5, 9, 0, 0, 0], [3, 4, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"       ,"[6, 8, 16, 32, 61, 112, 199, 342, 568, 912]"
          204 ,"[[4, 6, 13, 27, 53, 103], [2, 7, 14, 26, 50, 0], [5, 7, 12, 24, 0, 0], [2, 5, 12, 0, 0, 0], [3, 7, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"      ,"[4, 6, 13, 27, 53, 103, 200, 382, 706, 1252]"
          205 ,"[[3, 9, 21, 43, 84, 163], [6, 12, 22, 41, 79, 0], [6, 10, 19, 38, 0, 0], [4, 9, 19, 0, 0, 0], [5, 10, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"   ,"[3, 9, 21, 43, 84, 163, 314, 591, 1073, 1869]"
          206 ,"[[3, 4, 6, 11, 25, 61], [1, 2, 5, 14, 36, 0], [1, 3, 9, 22, 0, 0], [2, 6, 13, 0, 0, 0], [4, 7, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"          ,"[3, 4, 6, 11, 25, 61, 142, 304, 599, 1098]"
          207 ,"[[2, 7, 15, 32, 65, 124], [5, 8, 17, 33, 59, 0], [3, 9, 16, 26, 0, 0], [6, 7, 10, 0, 0, 0], [1, 3, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"      ,"[2, 7, 15, 32, 65, 124, 224, 387, 644, 1037]"
          208 ,"[[3, 6, 13, 26, 52, 106], [3, 7, 13, 26, 54, 0], [4, 6, 13, 28, 0, 0], [2, 7, 15, 0, 0, 0], [5, 8, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"      ,"[3, 6, 13, 26, 52, 106, 214, 416, 769, 1350]"
          209 ,"[[2, 8, 16, 29, 56, 115], [6, 8, 13, 27, 59, 0], [2, 5, 14, 32, 0, 0], [3, 9, 18, 0, 0, 0], [6, 9, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"      ,"[2, 8, 16, 29, 56, 115, 236, 464, 862, 1514]"
          210 ,"[[3, 4, 10, 26, 58, 118], [1, 6, 16, 32, 60, 0], [5, 10, 16, 28, 0, 0], [5, 6, 12, 0, 0, 0], [1, 6, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"     ,"[3, 4, 10, 26, 58, 118, 229, 430, 781, 1368]"
          211 ,"[[3, 8, 17, 33, 62, 115], [5, 9, 16, 29, 53, 0], [4, 7, 13, 24, 0, 0], [3, 6, 11, 0, 0, 0], [3, 5, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"      ,"[3, 8, 17, 33, 62, 115, 210, 374, 645, 1074]"
          212 ,"[[4, 6, 11, 22, 45, 91], [2, 5, 11, 23, 46, 0], [3, 6, 12, 23, 0, 0], [3, 6, 11, 0, 0, 0], [3, 5, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"       ,"[4, 6, 11, 22, 45, 91, 178, 333, 594, 1012]"
          213 ,"[[2, 6, 15, 31, 60, 115], [4, 9, 16, 29, 55, 0], [5, 7, 13, 26, 0, 0], [2, 6, 13, 0, 0, 0], [4, 7, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"      ,"[2, 6, 15, 31, 60, 115, 219, 408, 734, 1268]"
          214 ,"[[6, 9, 18, 36, 68, 125], [3, 9, 18, 32, 57, 0], [6, 9, 14, 25, 0, 0], [3, 5, 11, 0, 0, 0], [2, 6, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"      ,"[6, 9, 18, 36, 68, 125, 228, 412, 730, 1257]"
          215 ,"[[2, 8, 20, 40, 72, 125], [6, 12, 20, 32, 53, 0], [6, 8, 12, 21, 0, 0], [2, 4, 9, 0, 0, 0], [2, 5, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"      ,"[2, 8, 20, 40, 72, 125, 216, 373, 638, 1070]"
          216 ,"[[6, 11, 17, 29, 56, 112], [5, 6, 12, 27, 56, 0], [1, 6, 15, 29, 0, 0], [5, 9, 14, 0, 0, 0], [4, 5, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"     ,"[6, 11, 17, 29, 56, 112, 217, 398, 690, 1137]"
          217 ,"[[4, 7, 16, 32, 57, 99], [3, 9, 16, 25, 42, 0], [6, 7, 9, 17, 0, 0], [1, 2, 8, 0, 0, 0], [1, 6, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"         ,"[4, 7, 16, 32, 57, 99, 177, 326, 602, 1087]"
          218 ,"[[5, 11, 21, 40, 77, 149], [6, 10, 19, 37, 72, 0], [4, 9, 18, 35, 0, 0], [5, 9, 17, 0, 0, 0], [4, 8, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"    ,"[5, 11, 21, 40, 77, 149, 285, 530, 949, 1631]"
          219 ,"[[6, 7, 10, 17, 36, 83], [1, 3, 7, 19, 47, 0], [2, 4, 12, 28, 0, 0], [2, 8, 16, 0, 0, 0], [6, 8, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"        ,"[6, 7, 10, 17, 36, 83, 184, 377, 714, 1263]"
          220 ,"[[2, 8, 15, 26, 46, 85], [6, 7, 11, 20, 39, 0], [1, 4, 9, 19, 0, 0], [3, 5, 10, 0, 0, 0], [2, 5, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"        ,"[2, 8, 15, 26, 46, 85, 161, 303, 554, 974]"
          221 ,"[[4, 10, 17, 30, 59, 122], [6, 7, 13, 29, 63, 0], [1, 6, 16, 34, 0, 0], [5, 10, 18, 0, 0, 0], [5, 8, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"    ,"[4, 10, 17, 30, 59, 122, 248, 480, 878, 1522]"
          222 ,"[[6, 10, 15, 25, 48, 98], [4, 5, 10, 23, 50, 0], [1, 5, 13, 27, 0, 0], [4, 8, 14, 0, 0, 0], [4, 6, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"      ,"[6, 10, 15, 25, 48, 98, 197, 377, 682, 1170]"
          223 ,"[[4, 7, 15, 30, 59, 119], [3, 8, 15, 29, 60, 0], [5, 7, 14, 31, 0, 0], [2, 7, 17, 0, 0, 0], [5, 10, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"     ,"[4, 7, 15, 30, 59, 119, 242, 480, 910, 1639]"
          224 ,"[[6, 9, 14, 23, 41, 79], [3, 5, 9, 18, 38, 0], [2, 4, 9, 20, 0, 0], [2, 5, 11, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"         ,"[6, 9, 14, 23, 41, 79, 157, 307, 576, 1029]"
          225 ,"[[2, 7, 15, 30, 62, 131], [5, 8, 15, 32, 69, 0], [3, 7, 17, 37, 0, 0], [4, 10, 20, 0, 0, 0], [6, 10, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"    ,"[2, 7, 15, 30, 62, 131, 271, 534, 994, 1751]"
          226 ,"[[6, 9, 17, 36, 76, 156], [3, 8, 19, 40, 80, 0], [5, 11, 21, 40, 0, 0], [6, 10, 19, 0, 0, 0], [4, 9, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"    ,"[6, 9, 17, 36, 76, 156, 309, 587, 1066, 1851]"
          227 ,"[[5, 8, 17, 37, 79, 162], [3, 9, 20, 42, 83, 0], [6, 11, 22, 41, 0, 0], [5, 11, 19, 0, 0, 0], [6, 8, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"    ,"[5, 8, 17, 37, 79, 162, 315, 579, 1009, 1676]"
          228 ,"[[1, 5, 11, 25, 57, 123], [4, 6, 14, 32, 66, 0], [2, 8, 18, 34, 0, 0], [6, 10, 16, 0, 0, 0], [4, 6, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"     ,"[1, 5, 11, 25, 57, 123, 247, 463, 817, 1369]"
          229 ,"[[5, 6, 13, 28, 54, 98], [1, 7, 15, 26, 44, 0], [6, 8, 11, 18, 0, 0], [2, 3, 7, 0, 0, 0], [1, 4, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"        ,"[5, 6, 13, 28, 54, 98, 174, 306, 531, 902]"
          230 ,"[[4, 9, 15, 24, 40, 72], [5, 6, 9, 16, 32, 0], [1, 3, 7, 16, 0, 0], [2, 4, 9, 0, 0, 0], [2, 5, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"          ,"[4, 9, 15, 24, 40, 72, 137, 263, 492, 883]"
          231 ,"[[3, 4, 6, 10, 21, 51], [1, 2, 4, 11, 30, 0], [1, 2, 7, 19, 0, 0], [1, 5, 12, 0, 0, 0], [4, 7, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"          ,"[3, 4, 6, 10, 21, 51, 122, 269, 543, 1014]"
          232 ,"[[2, 8, 17, 34, 69, 142], [6, 9, 17, 35, 73, 0], [3, 8, 18, 38, 0, 0], [5, 10, 20, 0, 0, 0], [5, 10, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"    ,"[2, 8, 17, 34, 69, 142, 288, 562, 1044, 1844]"
          233 ,"[[1, 7, 15, 29, 55, 102], [6, 8, 14, 26, 47, 0], [2, 6, 12, 21, 0, 0], [4, 6, 9, 0, 0, 0], [2, 3, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"       ,"[1, 7, 15, 29, 55, 102, 183, 316, 525, 841]"
          234 ,"[[5, 7, 15, 30, 56, 102], [2, 8, 15, 26, 46, 0], [6, 7, 11, 20, 0, 0], [1, 4, 9, 0, 0, 0], [3, 5, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"       ,"[5, 7, 15, 30, 56, 102, 184, 327, 567, 953]"
          235 ,"[[3, 9, 17, 29, 49, 87], [6, 8, 12, 20, 38, 0], [2, 4, 8, 18, 0, 0], [2, 4, 10, 0, 0, 0], [2, 6, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"        ,"[3, 9, 17, 29, 49, 87, 163, 311, 583, 1053]"
          236 ,"[[2, 4, 7, 15, 34, 73], [2, 3, 8, 19, 39, 0], [1, 5, 11, 20, 0, 0], [4, 6, 9, 0, 0, 0], [2, 3, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"          ,"[2, 4, 7, 15, 34, 73, 145, 268, 466, 770]"
          237 ,"[[1, 6, 13, 25, 48, 92], [5, 7, 12, 23, 44, 0], [2, 5, 11, 21, 0, 0], [3, 6, 10, 0, 0, 0], [3, 4, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"       ,"[1, 6, 13, 25, 48, 92, 172, 309, 531, 874]"
          238 ,"[[5, 7, 11, 19, 35, 67], [2, 4, 8, 16, 32, 0], [2, 4, 8, 16, 0, 0], [2, 4, 8, 0, 0, 0], [2, 4, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"          ,"[5, 7, 11, 19, 35, 67, 129, 243, 441, 767]"
          239 ,"[[5, 11, 18, 30, 53, 101], [6, 7, 12, 23, 48, 0], [1, 5, 11, 25, 0, 0], [4, 6, 14, 0, 0, 0], [2, 8, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"     ,"[5, 11, 18, 30, 53, 101, 202, 404, 781, 1439]"
          240 ,"[[2, 6, 14, 27, 51, 99], [4, 8, 13, 24, 48, 0], [4, 5, 11, 24, 0, 0], [1, 6, 13, 0, 0, 0], [5, 7, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"       ,"[2, 6, 14, 27, 51, 99, 193, 366, 664, 1148]"
          241 ,"[[6, 12, 23, 42, 76, 139], [6, 11, 19, 34, 63, 0], [5, 8, 15, 29, 0, 0], [3, 7, 14, 0, 0, 0], [4, 7, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"    ,"[6, 12, 23, 42, 76, 139, 255, 461, 810, 1374]"
          242 ,"[[6, 8, 16, 36, 77, 152], [2, 8, 20, 41, 75, 0], [6, 12, 21, 34, 0, 0], [6, 9, 13, 0, 0, 0], [3, 4, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"     ,"[6, 8, 16, 36, 77, 152, 279, 482, 792, 1248]"
          243 ,"[[4, 8, 17, 36, 73, 145], [4, 9, 19, 37, 72, 0], [5, 10, 18, 35, 0, 0], [5, 8, 17, 0, 0, 0], [3, 9, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"     ,"[4, 8, 17, 36, 73, 145, 284, 543, 1002, 1774]"
          244 ,"[[5, 10, 20, 40, 76, 139], [5, 10, 20, 36, 63, 0], [5, 10, 16, 27, 0, 0], [5, 6, 11, 0, 0, 0], [1, 5, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"   ,"[5, 10, 20, 40, 76, 139, 249, 439, 759, 1280]"
          245 ,"[[6, 9, 18, 39, 84, 177], [3, 9, 21, 45, 93, 0], [6, 12, 24, 48, 0, 0], [6, 12, 24, 0, 0, 0], [6, 12, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"   ,"[6, 9, 18, 39, 84, 177, 360, 699, 1290, 2265]"
          246 ,"[[2, 8, 15, 27, 51, 100], [6, 7, 12, 24, 49, 0], [1, 5, 12, 25, 0, 0], [4, 7, 13, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"      ,"[2, 8, 15, 27, 51, 100, 196, 373, 680, 1184]"
          247 ,"[[4, 7, 15, 34, 72, 143], [3, 8, 19, 38, 71, 0], [5, 11, 19, 33, 0, 0], [6, 8, 14, 0, 0, 0], [2, 6, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"     ,"[4, 7, 15, 34, 72, 143, 271, 494, 868, 1471]"
          248 ,"[[4, 7, 13, 25, 49, 95], [3, 6, 12, 24, 46, 0], [3, 6, 12, 22, 0, 0], [3, 6, 10, 0, 0, 0], [3, 4, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"       ,"[4, 7, 13, 25, 49, 95, 178, 319, 546, 895]"
          249 ,"[[2, 8, 17, 31, 55, 100], [6, 9, 14, 24, 45, 0], [3, 5, 10, 21, 0, 0], [2, 5, 11, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"      ,"[2, 8, 17, 31, 55, 100, 186, 345, 624, 1088]"
          250 ,"[[3, 9, 20, 39, 75, 147], [6, 11, 19, 36, 72, 0], [5, 8, 17, 36, 0, 0], [3, 9, 19, 0, 0, 0], [6, 10, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"    ,"[3, 9, 20, 39, 75, 147, 288, 549, 1003, 1749]"
          251 ,"[[6, 9, 13, 22, 43, 89], [3, 4, 9, 21, 46, 0], [1, 5, 12, 25, 0, 0], [4, 7, 13, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"        ,"[6, 9, 13, 22, 43, 89, 182, 356, 660, 1161]"
          252 ,"[[6, 9, 16, 28, 48, 84], [3, 7, 12, 20, 36, 0], [4, 5, 8, 16, 0, 0], [1, 3, 8, 0, 0, 0], [2, 5, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"         ,"[6, 9, 16, 28, 48, 84, 152, 279, 506, 891]"
          253 ,"[[3, 4, 8, 18, 42, 96], [1, 4, 10, 24, 54, 0], [3, 6, 14, 30, 0, 0], [3, 8, 16, 0, 0, 0], [5, 8, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"        ,"[3, 4, 8, 18, 42, 96, 207, 416, 781, 1380]"
          254 ,"[[6, 10, 18, 34, 63, 114], [4, 8, 16, 29, 51, 0], [4, 8, 13, 22, 0, 0], [4, 5, 9, 0, 0, 0], [1, 4, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"      ,"[6, 10, 18, 34, 63, 114, 203, 356, 612, 1026]"
          255 ,"[[2, 4, 8, 19, 46, 104], [2, 4, 11, 27, 58, 0], [2, 7, 16, 31, 0, 0], [5, 9, 15, 0, 0, 0], [4, 6, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"       ,"[2, 4, 8, 19, 46, 104, 216, 415, 746, 1268]"
          256 ,"[[2, 4, 7, 12, 23, 50], [2, 3, 5, 11, 27, 0], [1, 2, 6, 16, 0, 0], [1, 4, 10, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"          ,"[2, 4, 7, 12, 23, 50, 112, 240, 480, 896]"
          257 ,"[[5, 11, 21, 41, 83, 171], [6, 10, 20, 42, 88, 0], [4, 10, 22, 46, 0, 0], [6, 12, 24, 0, 0, 0], [6, 12, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]" ,"[5, 11, 21, 41, 83, 171, 347, 677, 1257, 2219]"
          258 ,"[[2, 5, 9, 16, 34, 81], [3, 4, 7, 18, 47, 0], [1, 3, 11, 29, 0, 0], [2, 8, 18, 0, 0, 0], [6, 10, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"        ,"[2, 5, 9, 16, 34, 81, 189, 408, 810, 1493]"
          259 ,"[[2, 5, 12, 25, 47, 87], [3, 7, 13, 22, 40, 0], [4, 6, 9, 18, 0, 0], [2, 3, 9, 0, 0, 0], [1, 6, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"         ,"[2, 5, 12, 25, 47, 87, 165, 317, 600, 1097]"
          260 ,"[[6, 9, 15, 29, 58, 113], [3, 6, 14, 29, 55, 0], [3, 8, 15, 26, 0, 0], [5, 7, 11, 0, 0, 0], [2, 4, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"      ,"[6, 9, 15, 29, 58, 113, 211, 377, 646, 1065]"
          261 ,"[[5, 10, 21, 40, 71, 124], [5, 11, 19, 31, 53, 0], [6, 8, 12, 22, 0, 0], [2, 4, 10, 0, 0, 0], [2, 6, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"    ,"[5, 10, 21, 40, 71, 124, 219, 390, 689, 1190]"
          262 ,"[[3, 7, 14, 30, 66, 144], [4, 7, 16, 36, 78, 0], [3, 9, 20, 42, 0, 0], [6, 11, 22, 0, 0, 0], [5, 11, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"    ,"[3, 7, 14, 30, 66, 144, 303, 605, 1141, 2037]"
          263 ,"[[1, 7, 16, 33, 66, 128], [6, 9, 17, 33, 62, 0], [3, 8, 16, 29, 0, 0], [5, 8, 13, 0, 0, 0], [3, 5, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"      ,"[1, 7, 16, 33, 66, 128, 239, 428, 735, 1213]"
          264 ,"[[6, 9, 13, 19, 31, 62], [3, 4, 6, 12, 31, 0], [1, 2, 6, 19, 0, 0], [1, 4, 13, 0, 0, 0], [3, 9, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"         ,"[6, 9, 13, 19, 31, 62, 140, 314, 660, 1287]"
          265 ,"[[5, 9, 19, 36, 66, 122], [4, 10, 17, 30, 56, 0], [6, 7, 13, 26, 0, 0], [1, 6, 13, 0, 0, 0], [5, 7, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"     ,"[5, 9, 19, 36, 66, 122, 226, 411, 723, 1223]"
          266 ,"[[6, 9, 18, 34, 61, 109], [3, 9, 16, 27, 48, 0], [6, 7, 11, 21, 0, 0], [1, 4, 10, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"      ,"[6, 9, 18, 34, 61, 109, 197, 356, 632, 1089]"
          267 ,"[[2, 5, 14, 31, 61, 117], [3, 9, 17, 30, 56, 0], [6, 8, 13, 26, 0, 0], [2, 5, 13, 0, 0, 0], [3, 8, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"      ,"[2, 5, 14, 31, 61, 117, 225, 429, 796, 1421]"
          268 ,"[[2, 3, 7, 18, 46, 112], [1, 4, 11, 28, 66, 0], [3, 7, 17, 38, 0, 0], [4, 10, 21, 0, 0, 0], [6, 11, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"     ,"[2, 3, 7, 18, 46, 112, 253, 527, 1018, 1841]"
          269 ,"[[5, 6, 12, 27, 61, 134], [1, 6, 15, 34, 73, 0], [5, 9, 19, 39, 0, 0], [4, 10, 20, 0, 0, 0], [6, 10, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"    ,"[5, 6, 12, 27, 61, 134, 280, 551, 1021, 1790]"
          270 ,"[[1, 7, 18, 38, 77, 153], [6, 11, 20, 39, 76, 0], [5, 9, 19, 37, 0, 0], [4, 10, 18, 0, 0, 0], [6, 8, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"    ,"[1, 7, 18, 38, 77, 153, 294, 540, 945, 1579]"
